Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-418.2488	-429.3338	11.08507	0.0907704	9.87826e-05	0.177096	0.0388555	1.89255e-05	0.0252966	0.0181759	0.135128	0.263556	0.457724	0.0673006	0.128042	0.071256	0.202745	0.311275	0.274223	1.69554	0.749663	0.868904	0.957107	1.04482	1.15088	1.33393	0.208339	0.1549932	0.0456743	4.9706e-05	0.0891121	0.0195515	9.52305e-06	0.0127289	0.00914585	0.0679946	0.132618	0.23032	0.0338647	0.0644291	0.035855	0.102018	0.156629	0.326475	0.673525	0.326475	1.98734
36	-420.3421	-431.581	11.23893	0.0672265	0.000340431	0.202625	0.0230154	0.00085938	0.0276846	0.0332322	0.0528993	0.115283	0.157311	0.0367614	0.0259916	0.0164782	0.0789655	0.221166	0.427221	1.54891	0.265028	0.523285	0.817055	1.22391	1.91101	3.77318	0.9601767	0.264327	0.0634308	0.00032121	0.191185	0.0217159	0.000810858	0.0261215	0.0313559	0.0499125	0.108774	0.148429	0.0346858	0.0245241	0.0155478	0.074507	0.208679	0.293742	0.706258	0.2937423	1.05984
72	-419.9006	-431.2899	11.38928	0.0518637	0.0294	0.0545006	0.0165923	0.000304889	0.00984705	0.0246391	0.0598214	0.0161858	0.105866	0.00257294	0.0111789	0.0235577	0.0221152	0.0857869	0.131258	1.83254	0.0773755	0.287058	0.67748	1.47606	3.48362	12.924	1.850395	0.06864151	0.100856	0.0571726	0.105984	0.0322662	0.000592901	0.019149	0.0479143	0.116331	0.0314756	0.205873	0.00500345	0.0217389	0.0458114	0.0430062	0.166825	0.29674	0.70326	0.2967397	0.5142329
108	-421.5041	-432.9219	11.41779	0.0310953	0.000546109	0.0659212	0.0365394	0.00588813	0.0117159	0.0104985	0.0243178	0.0438221	0.13708	0.0267237	0.0762007	0.0286247	0.0696153	0.19246	0.319337	1.6523	0.172841	0.424814	0.765605	1.30616	2.35397	5.78567	1.269263	0.1852151	0.0408585	0.000717575	0.0866188	0.0480119	0.00773686	0.0153944	0.0137948	0.031953	0.0575812	0.18012	0.0351142	0.100126	0.0376122	0.0914729	0.252887	0.254263	0.745737	0.2542629	0.7610487
144	-435.0018	-445.9466	10.94484	0.0733204	0.0072606	0.0486896	0.0570425	0.0170876	0.00230412	0.117485	0.0814235	0.0814479	0.155022	0.0407279	0.0970555	0.0961367	0.108558	0.121646	0.424456	1.55156	0.187369	0.441868	0.775064	1.29022	2.26312	5.33707	1.210906	0.262168	0.0663408	0.00656944	0.0440547	0.0516125	0.015461	0.00208478	0.106302	0.0736726	0.0736946	0.140265	0.0368509	0.0878165	0.0869852	0.0982241	0.110066	0.237173	0.762827	0.2371726	1.105208
180	-420.186	-431.5729	11.38687	0.18932	0.0513652	0.0998903	0.0334731	0.00824007	0.0449638	0.0724132	0.200669	0.046745	0.0186289	0.0678112	0.0975286	0.123896	0.248518	0.305905	0.14609	1.81833	0.347692	0.597364	0.851512	1.17438	1.67402	2.87611	0.7638782	0.07699539	0.117636	0.0319164	0.062068	0.0207989	0.00512007	0.0279388	0.0449948	0.124688	0.0290456	0.0115753	0.0421353	0.0606006	0.0769846	0.154419	0.190078	0.376865	0.623135	0.376865	1.609368
216	-422.9185	-431.9015	8.982947	0.00552986	0.00202141	0.00718034	0.000790562	0.000152998	0.00307151	5.17647e-05	0.00384921	0.00585152	0.00510175	0.0173304	0.00280115	0.0126153	0.00483595	0.0047458	0.43169	1.54463	0.0298505	0.180397	0.586081	1.70625	5.54332	33.5003	2.539095	0.2678331	0.072829	0.0266222	0.0945659	0.0104118	0.00201501	0.0404521	0.000681747	0.0506945	0.0770651	0.0671906	0.228243	0.0368914	0.166145	0.0636901	0.0625028	0.392555	0.607445	0.3925552	0.07592947
252	-423.0944	-433.7408	10.64639	0.062172	0.0720561	0.0813093	0.0345006	0.010997	0.0620514	0.0761503	0.195521	0.170208	0.0294694	0.00939773	0.144534	0.119543	0.310516	0.548178	0.223161	1.74447	0.306194	0.561461	0.835203	1.19731	1.78107	3.2659	0.8557785	0.1225946	0.0322703	0.0374006	0.0422034	0.0179075	0.00570798	0.0322077	0.0395257	0.101485	0.0883462	0.0152961	0.00487788	0.0750201	0.0620484	0.161173	0.284531	0.367679	0.632321	0.3676795	1.926603
288	-417.5348	-428.8594	11.32461	0.0568508	0.00453474	0.0405158	0.000841301	0.00898545	0.0100129	0.00675446	0.0330295	0.00565196	0.0356766	0.0155913	0.011677	0.0138548	0.0648962	0.0751567	0.187796	1.77836	0.0905805	0.309987	0.693918	1.44109	3.22594	11.0399	1.736462	0.1012004	0.148038	0.0118083	0.105502	0.00219072	0.0233978	0.0260732	0.0175884	0.0860076	0.0147175	0.0929008	0.0405991	0.0304064	0.0360775	0.168988	0.195706	0.326318	0.673682	0.3263183	0.3840296
324	-422.1601	-433.7267	11.56661	0.0154409	0.00576057	0.1002	0.00196059	0.00263942	0.0217053	0.0112947	0.0383745	0.06521	0.0325413	0.00399174	0.0504352	0.027367	0.0962541	0.0823471	0.199372	1.76727	0.127039	0.365585	0.730567	1.3688	2.73535	7.8716	1.49188	0.1081131	0.0277953	0.0103696	0.180371	0.00352927	0.00475124	0.0390719	0.0203317	0.0690782	0.117385	0.0585777	0.00718555	0.0907886	0.0492636	0.173267	0.148234	0.341043	0.658957	0.3410434	0.5555229
